Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
1300198	Receive	 15:10:16.355.0	0x1dff1a03	Data	Extend	8	E2 FF 00 BB FF FF FF 63 
1300199	Receive	 15:10:16.355.0	0x1dff1a03	Data	Extend	8	E3 00 00 00 1F EE FF FF 
1300200	Receive	 15:10:16.355.0	0x1dff1a03	Data	Extend	8	E4 00 00 FF FF FF FF FF 
1300201	Receive	 15:10:16.355.0	0x1dff1b03	Data	Extend	8	40 0A 3F 9F D6 FF 55 00 
1300202	Receive	 15:10:16.355.0	0x1dff1b03	Data	Extend	8	41 42 00 24 00 FF FF FF 
1300203	Receive	 15:10:16.371.0	0x1dff1d03	Data	Extend	8	E0 2B 3F 9F 34 22 FF 0F 
1300204	Receive	 15:10:16.371.0	0x1dff1d03	Data	Extend	8	E1 15 9E F9 20 1E 62 C0 
1300205	Receive	 15:10:16.371.0	0x09fd0219	Data	Extend	8	FF 4E 01 2D 26 FA FF FF 
1300206	Receive	 15:10:16.371.0	0x1dff1d03	Data	Extend	8	E2 12 FF FF FF 7F 0C A0 
1300207	Receive	 15:10:16.371.0	0x1dff1d03	Data	Extend	8	E3 62 36 F4 D5 C0 12 FF 
1300208	Receive	 15:10:16.371.0	0x1dff1d03	Data	Extend	8	E4 FF FF 7F 28 A1 DB 1C 
1300209	Receive	 15:10:16.371.0	0x1dff1d03	Data	Extend	8	E5 70 2C C0 12 FF FF FF 
1300210	Receive	 15:10:16.371.0	0x1dff1d03	Data	Extend	8	E6 7F 0C FF FF FF FF FF 
1300211	Receive	 15:10:16.371.0	0x09fd0220	Data	Extend	8	FF 4E 01 2D 26 FA FF FF 
1300212	Receive	 15:10:16.387.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CF F7 FF FF 
1300213	Receive	 15:10:16.387.0	0x09f80109	Data	Extend	8	D5 D1 50 1D 45 87 CC FF 
1300214	Receive	 15:10:16.387.0	0x09f8010c	Data	Extend	8	C0 D1 50 1D 4F 87 CC FF 
1300215	Receive	 15:10:16.403.0	0x09f80103	Data	Extend	8	CE D1 50 1D 97 87 CC FF 
1300216	Receive	 15:10:16.403.0	0x18ff3d13	Data	Extend	8	41 9F FF FF 0E FF 00 FF 
1300217	Receive	 15:10:16.419.0	0x0df50b23	Data	Extend	8	FF 1E 03 00 00 00 00 0E 
1300218	Receive	 15:10:16.419.0	0x19f21448	Data	Extend	8	48 56 13 66 FE 07 76 FF 
1300219	Receive	 15:10:16.435.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CF F7 FF FF 
1300220	Receive	 15:10:16.435.0	0x09f80209	Data	Extend	8	BE FC D4 1C 95 00 FF FF 
1300221	Receive	 15:10:16.435.0	0x09f8020c	Data	Extend	8	BE FC C5 1C 90 00 FF FF 
1300222	Receive	 15:10:16.451.0	0x0df11903	Data	Extend	8	FF 24 12 3A 01 DE FF FF 
1300223	Receive	 15:10:16.451.0	0x09f11203	Data	Extend	8	FF 24 12 FF 7F B8 00 FC 
1300224	Receive	 15:10:16.451.0	0x1cff0003	Data	Extend	8	3F 9F 0C 00 00 00 FF FF 
1300225	Receive	 15:10:16.451.0	0x09f11303	Data	Extend	8	FF 27 54 D9 FF FF FF FF 
1300226	Receive	 15:10:16.467.0	0x0df11403	Data	Extend	8	FF 01 00 FF FF FF FF FF 
1300227	Receive	 15:10:16.467.0	0x15fd0a03	Data	Extend	8	FF 00 00 3A AC 0F 00 FF 
1300228	Receive	 15:10:16.467.0	0x1dff1a03	Data	Extend	8	00 1D 3F 9F 21 00 00 00 
1300229	Receive	 15:10:16.467.0	0x1dff1a03	Data	Extend	8	01 EC FE FF FF 94 FF FF 
1300230	Receive	 15:10:16.467.0	0x1dff1a03	Data	Extend	8	02 FF 00 13 00 00 00 07 
